Comp Ch 3,Comp Ch 4
-0.137661,-0.0204005
-0.117153,0.0045899
-0.0838133,0.0097264
-0.0544238,-0.00300695
-0.0279036,-0.0030757
-0.0185983,-0.0121266
-0.0208771,-0.023389
-0.0275927,-0.0169459
-0.0351314,-0.0133715
-0.0179458,-0.00532612
0.00826398,0.00709309
0.0312412,0.0216986
0.0346436,0.0213051
0.0323389,0.00932796
0.0361046,0.00647054
0.0404385,0.0027821
0.044305,-0.00283812
0.0379576,-0.00458515
0.0281208,-0.00623503
0.0270828,-0.00202906
0.0338031,0.00991485
0.0266503,0.00277041
0.0136027,-0.0186599
-0.00281366,-0.0133035
-0.0324149,0.00787098
-0.0603419,0.0149307
-0.0654598,0.00141941
-0.0447571,-0.0120596
-0.0192514,-0.0143232
-0.0144009,-0.0162979
-0.00125812,-0.0336047
0.00858514,-0.00289809
0.0146509,0.0321785
0.037594,0.0229583
0.0569689,0.0164425
0.0812795,0.0165598
0.0695278,0.0153951
0.024709,0.011943
0.00823194,0.00491716
0.0041565,0.00211646
-0.0243253,0.00662625
-0.0784213,-0.00435368
-0.104858,-0.0119494
-0.0988558,-0.0249674
-0.0654628,-0.0458785
-0.00475083,-0.0314722
0.0697219,0.0284118
0.0829317,0.0407766
0.0384634,0.0135402
0.0314438,0.000251279
0.0343795,-0.0238767
0.0206106,-0.0425919
0.018284,-0.0131963
0.0122565,0.0169764
0.0046946,0.0249197
-3.09e-05,0.00950462
-0.0144595,0.00783306
-0.0242586,0.00457937
-0.0186679,0.00639679
-0.0127911,0.0104467
-0.0170171,0.00300913
-0.0192491,0.00609991
-0.0190619,0.00203765
-0.0168328,-0.00763174
-0.00568489,0.00407911
0.00619696,0.00483942
0.00916721,0.00206481
0.00962576,0.00321867
0.00259486,-0.00797195
-0.000568857,-0.0290486
0.0126987,-0.0302295
0.0245162,-0.00771066
0.0207742,-0.0110754
0.011289,0.0189458
0.00353306,0.0377637
-0.00459643,0.0111749
-0.0199672,-0.00880883
-0.0188119,-0.0202369
-0.00319589,-0.0117068
-0.00559215,0.014782
-0.0165508,0.0169325
-0.0114349,0.0127493
-0.00130059,0.0176969
-0.0142597,0.0113747
-0.0416957,-0.00168668
-0.0381191,-0.00690095
-0.0183464,-0.00803345
0.016344,-0.0150189
0.0678078,-0.0198397
0.144905,-0.0179461
0.140079,-0.0481914
0.0533353,-0.047276
-0.0375459,0.0190128
-0.0867303,0.0572796
-0.0684927,0.046038
-0.0151205,0.0272588
-0.0173924,0.0114268
-0.0583309,0.00131822
-0.0634814,-0.000509114
-0.0333533,-0.00257987
-0.00968263,-0.0129554
-0.00123513,-0.0207688
0.003604,-0.0346071
0.0148449,-0.00530396
0.0201739,0.0265779
0.0121387,0.0168421
-0.000986002,0.0189187
-0.0221309,-0.000187562
-0.0393108,-0.0363717
-0.0267076,-0.0266445
-0.0195233,0.00128688
-0.0127801,0.0157129
0.0114867,0.0191282
0.0407242,0.00907322
0.0242633,-0.0141346
-0.0277179,-0.0246877
-0.0391414,-0.0260564
-0.0259423,0.0116619
0.0145043,0.0326435
0.0737251,0.00207918
0.139112,-0.0349981
0.111889,-0.00916558
0.0273667,0.0347262
-0.0126423,0.0347663
-0.0416765,0.0148876
-0.0725903,-0.000776696
-0.0744725,-0.00457409
-0.0645455,-0.0042077
-0.0451433,-0.00951063
-0.00631739,-0.0299386
0.0251485,-0.0656393
0.0226661,-0.0367248
0.029745,0.0237439
0.068041,0.0319471
0.0571742,0.0311425
0.0612713,0.0255505
0.0782851,0.0194953
0.0762285,0.00932654
0.0180257,-0.00476089
-0.0393743,0.00202636
-0.0833172,0.012557
-0.0983911,0.011541
-0.058737,0.00624511
-0.00854177,-0.00247636
0.0105246,-0.0180135
0.0172824,-0.0207762
0.0168285,-0.00443982
0.00798707,-0.016528
-0.00626297,-0.0339282
-0.0106262,0.0213044
-0.0146111,0.0348605
-0.00950003,0.0140191
-0.0100714,0.00875836
-0.0149096,0.00874795
-0.0157873,-0.00141992
-0.0148721,-0.0115652
-0.00843956,-0.0135701
-0.00146375,-0.0154056
0.00530452,-0.0166963
0.013567,0.0157753
0.0174782,0.0100522
0.0158331,-0.00908843
0.0135665,-0.00171402
0.00468811,0.0018987
-0.0128058,-0.0145995
-0.0202905,-0.00230192
-0.000562117,0.0124411
0.012592,-0.018598
0.0039229,0.00973795
-0.0142991,-0.00567073
-0.0773993,-0.0190483
-0.0765272,-0.0113219
-0.0620213,0.0113509
-0.0419408,0.0192005
0.0219892,0.0131461
0.0838737,0.00268815
0.0427709,-0.0153049
0.00671783,-0.0156536
0.0316349,-0.00489062
0.0734499,0.0193539
0.0585439,0.0290337
0.0434334,0.0156161
0.0304967,-0.00972028
0.0206146,-0.00707992
0.00520389,0.00252924
-0.00571171,-0.00317998
-0.00705757,-0.0183549
-0.00781141,-0.0199164
-0.00091555,0.00842388
0.00811571,0.00721772
0.0155591,0.0118786
0.0156028,0.00768588
0.00815113,0.00582979
0.00168976,0.00192586
-0.00158891,-0.014959
-0.0147352,-0.018776
-0.0331526,0.00407367
