Comp Ch 3,Comp Ch 4
0.0135927,-0.180126
0.0100661,-0.106978
-0.00158323,-0.0815185
-0.0102025,-0.0334253
-0.0366648,0.0382657
-0.0428097,0.0521989
-0.030783,0.0224881
0.0365733,-0.0315949
0.07951,-0.073541
0.0769193,-0.0812794
0.0175913,-0.046798
-0.0392658,0.0349819
-0.0628529,0.104682
-0.0414431,0.138463
-0.010217,0.202737
0.0362707,0.179197
0.0596104,0.0387475
0.0627915,-0.0196191
0.00583699,-0.0402564
-0.0707116,-0.128047
-0.0860895,-0.167802
-0.0313889,-0.133881
0.00554891,0.0121775
0.00625393,0.061775
-0.00136153,-0.0169768
0.018661,0.000863841
0.0484043,0.0488646
0.045369,0.0211384
0.0170892,-0.0653121
-0.0050176,-0.0731851
-0.0029713,-0.0369263
0.0110163,0.018168
-0.00364909,-0.0550207
-0.0224336,-0.0717568
-0.0247317,0.0662121
-0.018869,0.136482
0.027914,0.133079
0.0393322,0.0919355
0.00464665,-0.0540775
-0.0552732,0.014095
-0.0837227,0.0632802
-0.0847279,-0.093538
-0.0181521,-0.121708
0.0710339,-0.0415698
0.0856385,0.00742098
0.0306248,0.0239103
0.0369332,0.0326626
0.0254673,0.0157972
0.0384526,-0.0109838
0.0245394,-0.0252659
-0.0228168,0.0121169
-0.0666603,0.076069
-0.0803477,0.0137364
-0.041671,-0.0523184
-0.0554195,-0.0321548
-0.0242228,-0.00764983
0.0511804,-0.0247123
0.0941358,-0.00435893
0.0780221,-0.0221028
0.0731367,0.0710333
0.0461489,-0.0141638
0.0323208,0.010395
0.0330702,0.0179399
-0.0120013,-0.0266268
-0.0940139,-0.0629737
-0.0652658,-0.0501649
0.0326812,0.0354559
0.0487058,0.0117888
-0.052049,0.0551944
-0.181245,0.0195271
-0.0927765,0.0039934
0.113077,0.0382183
0.134875,0.00454261
0.0371102,-0.00658174
-0.0973132,0.0244819
-0.0674515,0.00275457
0.0203417,-0.0130536
0.0145285,-0.0187448
-0.00639979,-0.0270216
-0.0414679,-0.0226317
-0.0490472,-0.0193106
-0.0254671,-0.0275367
-0.0160506,-0.0150121
0.00589975,0.014622
0.038712,0.0179035
0.0662404,0.0470163
0.0623532,0.00757664
0.0351688,-0.0435336
-0.00460261,-0.00386895
-0.0172938,0.0694697
0.0173042,0.0672676
0.0286279,-0.0502295
0.00218085,-0.0464646
-0.0188044,0.071651
-0.0235685,0.0665355
-0.00794976,-0.0342268
-0.0144431,0.0110686
-0.00254618,0.0368039
0.0238467,0.0362213
0.00461698,-0.0345479
-0.0267951,-0.0316167
-0.092779,-0.00935932
-0.104448,0.00900061
-0.0905094,-0.0195429
-0.0140827,-0.0334934
-0.00282145,-0.0736885
-0.0117134,-0.0609455
0.02683,-0.00885245
0.0435203,-0.0163826
0.0681893,-0.00330885
0.1452,-0.0184365
0.111706,-0.0165189
-0.0297908,-0.0350426
-0.0932669,-0.00392546
-0.0657674,0.0143667
-0.0691715,0.0266997
0.00706222,0.0157926
0.0697536,-0.0273628
0.106342,0.00800578
0.103532,0.0240766
0.124515,0.0416583
0.0631883,0.0568324
-0.0178189,0.0454871
-0.0282767,0.0306429
-0.000169839,-0.04858
0.00216547,-0.0445648
0.0323346,-0.0299272
0.00233844,-0.0371104
-0.0443137,0.0415362
-0.0594316,-0.0157182
-0.0537326,-0.0119786
-0.0502529,0.0698431
-0.00345637,0.0485031
-0.00100651,-0.0088503
0.0190757,-0.0086511
0.0454071,0.000458186
-0.0270583,0.00574679
-0.0782965,-0.00188489
-0.0634206,0.00818601
0.00480942,0.00501701
0.0525809,0.0252365
0.0446499,0.0404403
0.000143892,-0.042179
-0.0294,-0.0517957
-0.182064,-0.0168766
-0.338977,-0.0240912
-0.25447,-0.042342
-0.0219703,-0.0169825
0.142793,0.0312747
0.25751,-0.00692046
0.222015,-0.00318672
0.132443,0.0167105
0.0836759,0.0142035
0.0111687,0.0156456
-0.0417072,0.0276987
0.00119949,0.0281335
0.0646687,0.0189062
0.0481981,-0.0227815
0.0136554,-0.0517233
0.0148074,0.0294853
-0.0150467,0.0244676
-0.0456533,-0.0133015
-0.00250411,-0.0134913
0.00783274,-0.0267366
0.031106,-0.00209047
0.0212891,0.00534818
-0.0425307,-0.0182081
-0.0310033,-0.0164869
-0.0224868,-0.00897108
-0.0158946,0.0294881
-0.026781,0.0116686
-0.0600103,0.00286474
-0.0908376,0.0148648
-0.0357844,0.0148129
0.0332619,0.0088981
0.0269821,0.000499354
-0.00259138,0.00557446
-0.024176,0.0214873
-0.0157032,-0.0141647
0.000328474,-0.0399187
0.0153601,-0.0133244
0.0166032,0.0455074
0.0313511,0.0197901
0.0243736,-0.015796
-0.000559868,-0.0289564
0.0367635,-0.00244349
0.026463,0.0235475
-0.0471819,0.0191243
-0.0391828,0.00868834
0.0209651,-0.0038838
0.0401923,-0.00775755
0.0202125,-0.0255495
0.000439931,-0.0170263
0.0188829,0.0176592
-0.00578838,0.00186963
-0.0408156,-0.047112
-0.0330635,-0.0330351
-0.0364284,0.0178821
-0.049027,0.0211163
-0.019907,0.00877351
0.054255,-0.00454862
0.102662,-0.0260079
0.046323,-0.00919225
-0.0270832,-0.0100902
-0.0400926,0.0292029
-0.0427804,0.0110573
-0.0912871,0.0377123
-0.105796,0.0190388
0.00640828,-0.0114955
0.1127,0.0555334
0.0204953,0.0148487
-0.0354914,-0.0124051
0.0155787,0.00665305
0.0116889,-0.065796
-0.000849594,-0.100022
-0.00577987,-0.0318069
-0.04592,0.0470641
-0.0189535,0.00319554
0.0614647,0.0290615
0.103659,0.0501635
0.0604603,0.0254496
0.0257441,0.0130782
0.0213616,-0.00106163
-0.00092527,-0.0137278
-0.0014497,0.0326179
0.00228831,-0.0332393
0.0117719,-0.00386569
-0.00502782,-0.0126782
-0.0170598,-0.0091079
-0.0285269,-0.00416281
-0.010124,-0.00889107
0.0241682,0.0135857
0.00725264,-0.00322783
-0.025146,-0.0112765
1.77e-05,-0.00518601
0.0270632,-0.00372406
0.00887456,-0.00642866
0.00639801,-0.0168639
-0.0061505,-0.0139856
-0.00749024,-0.0230304
-0.0164881,0.0209985
-0.0250123,0.0428393
-0.00798277,0.0232456
0.00681848,0.00479482
-0.0405989,-0.0394195
-0.0352774,-0.0322849
-0.0108637,-0.0123391
0.0234071,-0.0515608
-0.0122177,0.0236382
-0.0160515,0.106031
-0.0283537,0.0313094
-0.0675118,-0.0256505
-0.0599447,-0.0301021
0.0668452,-0.00120301
0.0528844,0.00112927
-0.0379516,-0.0142621
-0.108596,-0.0715007
-0.229157,-0.0157298
-0.224781,0.0202186
0.0281954,0.03026
0.209747,0.046886
0.298033,0.0110885
0.31122,-0.00681929
0.157785,0.0145337
0.0412438,-0.0251998
-0.0491965,-0.0270419
-0.0446182,-0.0186724
0.0386262,0.0382053
0.0376956,0.0201696
-0.0696247,0.00410482
-0.159811,-0.0102485
-0.125818,0.0417074
-0.0601136,0.00909125
0.0684503,-0.0179697
0.0574316,0.0239858
0.0578452,0.0505178
0.0781765,-0.0298247
0.0382648,-0.0538102
-0.000930376,0.0118161
-0.0715504,0.0116323
-0.136072,-0.0161344
-0.0945092,-0.0158904
-0.0577847,-0.0550488
0.021117,-0.0355036
0.124302,0.0494778
0.0621048,0.0123116
-0.0545176,0.0524053
-0.0186915,0.0231707
0.0511114,-0.00196452
0.0908657,0.00753064
0.0666565,-0.0172909
-0.0017371,-0.0156011
-0.0326257,-0.0057891
-0.0901119,-0.0350456
-0.141667,0.0063666
-0.048984,0.0258973
0.00238255,-0.00705792
0.0572877,0.000483742
0.0110155,0.00930168
-0.0770337,-0.00661267
-0.126105,0.0131615
-0.133703,-0.0147581
0.0343595,-0.0113513
0.110138,-0.0395974
0.0680447,0.0108045
0.0619017,-0.0109936
-0.0287252,-0.0441607
-0.091929,-0.0129894
0.0104913,-0.0190168
0.041994,-0.00313429
0.0452944,0.0436794
0.00766094,0.0290324
0.0252677,0.00764183
0.0444004,0.0417483
0.0699406,0.00437869
0.0588101,-0.00428154
0.0732276,0.0160953
0.0876131,-0.000365389
0.0812551,0.00477208
0.0619317,0.0198827
-0.0117017,0.0194475
-0.125056,-0.0254838
-0.157334,-0.043763
-0.0868646,-0.0159796
-0.00112285,0.0202639
0.060578,0.0311925
-0.0160606,0.00766633
-0.0643011,-0.0313256
-0.00722167,-0.0138487
0.0429881,0.000668316
0.0341762,0.00947377
-0.0228853,0.0115026
-0.0213964,-0.0193044
0.0215724,-0.0435121
0.025601,-0.00289598
0.0175691,0.0351343
0.00194141,0.0363404
-0.0414547,0.0304766
-0.132071,-0.0122195
-0.142989,-0.0636095
-0.0581978,-0.0315097
0.0408255,0.0746729
0.0680872,0.0135996
0.0263328,-0.0136735
0.0641465,0.0124558
0.0691466,-0.0279812
-0.000348154,-0.0260715
-0.0257641,-0.00505198
-0.0540942,0.000491784
-0.073885,-0.0141255
0.0190753,-0.0249998
0.0858479,0.0356205
0.0426901,0.00441534
0.0833211,-0.0175841
0.093105,-0.0081873
0.072595,0.0187502
0.0572663,0.0147457
0.0378803,0.0397384
-0.0104257,-0.0107323
-0.0349688,-0.0125092
-0.0569786,0.010002
-0.0317915,0.0136774
-0.0569806,-0.00825816
-0.127734,-0.0062403
-0.134616,-0.00625318
-0.129302,-0.0614022
-0.0689301,-0.00779483
-0.0336771,0.0395615
0.0294465,0.0838062
0.0462577,0.0248627
0.0498939,-0.00456103
0.118627,0.0381075
0.124831,-0.0246687
0.0414948,-0.0417645
0.0116689,-0.00767635
-0.0296418,-0.0330261
-0.0523568,-0.0189572
-0.0540433,-0.0222129
0.00667488,-0.0645816
0.0289703,0.0451703
0.0528046,0.0845933
0.0878393,0.0167642
0.0669356,-0.0148744
-0.0279629,-0.0148548
-0.0132408,-0.0152779
0.0615784,0.0101249
-0.0416399,-0.00630922
-0.164372,0.00570542
-0.070031,0.00480897
0.0658678,0.00916141
0.0527453,0.00280624
0.0278214,-0.018637
0.0333513,-0.0266451
-0.0296386,0.00323057
-0.0513891,-0.0305765
-0.0322161,-0.0686426
-0.0064534,0.0317948
-0.0148381,0.037489
-0.0334956,0.0251757
0.0281375,0.0318831
